Date,Open,High,Low,Close,Adj Close,Volume
2016-07-29,5375.0,5540.0,5175.0,5445.0,5445.0,57725582
2016-08-01,5320.0,5520.0,5285.0,5485.0,5485.0,26127072
2016-08-02,5375.0,5430.0,5325.0,5330.0,5330.0,20139118
2016-08-03,5200.0,5255.0,5110.0,5130.0,5130.0,29327292
2016-08-04,5180.0,5245.0,5020.0,5240.0,5240.0,29550498
2016-08-05,5240.0,5300.0,5215.0,5235.0,5235.0,17690944
2016-08-08,5410.0,5490.0,5385.0,5485.0,5485.0,18393944
2016-08-09,5490.0,5575.0,5475.0,5565.0,5565.0,16434692
2016-08-10,5520.0,5605.0,5495.0,5530.0,5530.0,18280648
2016-08-12,5620.0,5685.0,5605.0,5665.0,5665.0,16451342
2016-08-15,5640.0,5680.0,5620.0,5635.0,5635.0,11094798
2016-08-16,5655.0,5655.0,5455.0,5455.0,5455.0,18329680
2016-08-17,5455.0,5565.0,5455.0,5560.0,5560.0,15388302
2016-08-18,5470.0,5540.0,5375.0,5385.0,5385.0,25563740
2016-08-19,5435.0,5465.0,5355.0,5420.0,5420.0,15723140
2016-08-22,5455.0,5475.0,5410.0,5445.0,5445.0,13816528
2016-08-23,5420.0,5495.0,5355.0,5375.0,5375.0,17238798
2016-08-24,5450.0,5485.0,5415.0,5435.0,5435.0,10893396
2016-08-25,5445.0,5475.0,5405.0,5425.0,5425.0,9896638
2016-08-26,5400.0,5400.0,5280.0,5310.0,5310.0,22715416
2016-08-29,5510.0,5570.0,5500.0,5555.0,5555.0,15739098
2016-08-30,5525.0,5560.0,5515.0,5555.0,5555.0,8665892
2016-08-31,5630.0,5670.0,5615.0,5655.0,5655.0,14229390
2016-09-01,5650.0,5685.0,5630.0,5670.0,5670.0,11049894
2016-09-02,5660.0,5690.0,5625.0,5675.0,5675.0,13000192
2016-09-05,5815.0,5825.0,5725.0,5745.0,5745.0,19610676
2016-09-06,5755.0,5790.0,5745.0,5780.0,5780.0,9666880
2016-09-07,5665.0,5740.0,5655.0,5735.0,5735.0,14391376
2016-09-08,5725.0,5730.0,5610.0,5695.0,5695.0,12461042
2016-09-09,5715.0,5740.0,5655.0,5705.0,5705.0,14220184
2016-09-12,5570.0,5595.0,5450.0,5495.0,5495.0,23774816
2016-09-13,5565.0,5580.0,5490.0,5540.0,5540.0,18023392
2016-09-14,5475.0,5525.0,5445.0,5455.0,5455.0,17425912
2016-09-15,5400.0,5405.0,5290.0,5315.0,5315.0,20687686
2016-09-16,5360.0,5405.0,5325.0,5390.0,5390.0,11740772
2016-09-20,5325.0,5440.0,5315.0,5370.0,5370.0,16798544
2016-09-21,5355.0,5590.0,5290.0,5580.0,5580.0,34176300
2016-09-23,5565.0,5580.0,5525.0,5540.0,5540.0,15961714
2016-09-26,5510.0,5515.0,5380.0,5390.0,5390.0,13532682
2016-09-27,5320.0,5485.0,5235.0,5480.0,5480.0,31030652
2016-09-28,5450.0,5460.0,5375.0,5420.0,5420.0,15449332
2016-09-29,5525.0,5625.0,5515.0,5585.0,5585.0,21292018
2016-09-30,5445.0,5450.0,5385.0,5420.0,5420.0,23195654
2016-10-03,5510.0,5550.0,5490.0,5515.0,5515.0,15211650
2016-10-04,5560.0,5615.0,5535.0,5585.0,5585.0,16892042
2016-10-05,5640.0,5680.0,5595.0,5670.0,5670.0,16508520
2016-10-06,5745.0,5770.0,5710.0,5715.0,5715.0,14594634
2016-10-07,5710.0,5720.0,5665.0,5695.0,5695.0,10737598
2016-10-11,5750.0,5840.0,5740.0,5805.0,5805.0,19366352
2016-10-12,5695.0,5755.0,5680.0,5690.0,5690.0,14119766
2016-10-13,5740.0,5775.0,5610.0,5630.0,5630.0,20904846
2016-10-14,5625.0,5695.0,5600.0,5685.0,5685.0,14584856
2016-10-17,5685.0,5750.0,5665.0,5720.0,5720.0,13789784
2016-10-18,5700.0,5760.0,5680.0,5755.0,5755.0,10618640
2016-10-19,5755.0,5795.0,5735.0,5790.0,5790.0,10593480
2016-10-20,5785.0,5940.0,5775.0,5940.0,5940.0,21444596
2016-10-21,5970.0,5985.0,5895.0,5920.0,5920.0,15147636
2016-10-24,5945.0,5955.0,5900.0,5950.0,5950.0,11411214
2016-10-25,6000.0,6045.0,5995.0,6045.0,6045.0,13177950
2016-10-26,6005.0,6055.0,5990.0,6055.0,6055.0,10659182
2016-10-27,6035.0,6070.0,5975.0,6025.0,6025.0,14167412
2016-10-28,6090.0,6105.0,6065.0,6100.0,6100.0,12797120
